language,skew_angle,sorted_boxes_cer,skew_robust_cer
zh,0,0.43598682936277355,0.4047388469236232
zh,3,0.5138808186454904,0.412583123507005
zh,6,0.5655949383433404,0.41322874297888823
zh,10,0.6095939053521854,0.4148750726321906
ja,0,0.3275531519157581,0.3149912724983546
ja,3,0.3549374767505079,0.31985578161215555
ja,6,0.40404040404040403,0.318024437004607
ja,10,0.44673362520388016,0.31831058459953643
de,0,0.11648314722911497,0.09806658395368073
de,3,0.19288926799007444,0.10707454507857733
de,6,0.23570616211745243,0.10733302315963607
de,10,0.27913047973531846,0.10494210090984285
es,0,0.14425814940839046,0.12102552504703064
es,3,0.2253872960720417,0.12318430872662603
es,6,0.2787298128026152,0.12090216597962519
es,10,0.32205968522877965,0.12571316960843776
fr,0,0.32799603449070874,0.30905611656752896
fr,3,0.3590399778669249,0.3121801078987412
fr,6,0.3768386591045327,0.3064047586111495
fr,10,0.4078019089777286,0.30811084981786324
it,0,0.23780299521383355,0.2273892234058978
it,3,0.2730430754979157,0.22783696155627606
it,6,0.3040064844835572,0.2280531110081828
it,10,0.3416628068550255,0.22874015748031495
pt,0,0.3150337345180922,0.3041161945130369
pt,3,0.34178802667651803,0.30226905951663396
pt,6,0.3781279772899613,0.30236627714802355
pt,10,0.40052691956213177,0.304096750986759
